Vidhya Jyothi School B T M Layout Bangalore,8,624,12.91231,77.61592,Education,Education,Education
"St. Ann's High School, Rajajinagar,Bangalore",139,1329,12.98601076,77.547635,School,School,High School
Radcliffe School,629,166,12.8578312,77.5915121,Education,School,Education
London School of Commerce - Bangalore Campus,41,2026,13.04697459,77.57862394,Education,Education,Technical Institute
Sri Morarji Desai Model Residential School Chamaraj pet Bangalore,2,199,12.9833,77.5833,Education,Education,Education
"School of Engineering and Technology, Jain University",7794,8609,12.641440179673,77.440639208157,Education,Technical Institute,Education
Unit school station workshop E.M.E bangalore,50,296,12.958366245789,77.66575189395,School,School,School
Angels Convent English School/Angels High School,7,184,13.00522,77.5527199,School,School,High School
K.S. School of Engineering and Management,1678,1815,12.9293071,77.55217575,Education,Technical Institute,Educational Service,Education
"St. Teresa's Girl's High School Chamarajapet, Bangalore",130,2720,12.96043,77.56845,School,School,School
The School of Photography,0,761,12.9201603,77.5875397,Education,Art School,Photographer,Photographic Services & Equipment
"Indian high school,Basaveshwarnagar,bengaluru-560079",13,719,12.9869299,77.5398788,School,School,School
Sambhram School of Bussiness - S2B Bangalore,19,18,13.0917438,77.5469402,Education,Education,Education
"Rishi Valley School, Bangalore",0,30,13.634,78.454,School,High School,Landmark,School
Cecilia English High School,0,39,13.0040554,77.6361843,School,School,High School,Preschool
Sacred Heart Boys High School - Bangalore,153,364,12.96677,77.60925,School,High School,School
Bangalore Premier Soccer School - BPSS,0,197,12.99868,77.6294999,Sports/Recreation/Activities,Sports & Recreation
KLAY Prep Schools and Day Care,559,11040,13.00906,77.59709,Education,Education,Education
"SRI HARSHA SCHOOL, Bangalore",67,140,12.89615,77.56639,Education,Education,High School
B.M.S. School of Architecture,592,869,12.97339685,77.53532298,Education,Education,Technical Institute
Japanese Language School,56,1221,13.001702869551,77.599267640817,Education,Education,Education
The Bangalore School of Ikenobo Ikebana,0,126,12.9806,77.63661,Attractions/Things to Do,Arts & Entertainment,Art School,Florist
The Valley School,5092,778,12.8535,77.51,School,High School,School
"La Wisdom School, Bangalore, by IITians, inspired by J.Krishnamurti",40,1202,12.9332535256,77.629652023315,Education,Educational Consultant,Educational Research,Education
Greenwood High International School,1250,117551,13.042685246232,77.76202095108,School,High School,School
"Narayana E-techno school, bangalore",407,604,13.0752239,77.5623483,School,School,School
Harvest International School,813,2525,30.792367454225,75.595943812274,School,High School,School
The Cambridge International School,6,175,12.9208,77.66484,Education,High School,Education
Treamis World School,878,5218,12.816902528287,77.651476586625,School,School,High School,Elementary School
Delhi public school Bangalore east,1167,105,12.884158781931,77.724863437043,Local Business,Public School,High School
Cathedral Composite Pre-university College & High School,4358,2954,12.966344495168,77.607083892036,School,High School,College & University,School
Inspiro IAS Coaching Schools,238,3005,12.9673901,77.53405,Education,Education,Education
