Lineage Power Systems,1,715,12.9937401,77.7024689,Energy,Energy
FKCCI Green summit,25,1732,12.97896,77.5799408,Organization,Solar Energy Service,Engineering Service,Organization
Voltaron Technologies,0,704,13.07386,77.55637,Energy,Manufacturing
Solar Shines,0,773,12.983634545685,77.582613354492,Local Business,Solar Energy Service
Prince & Son's,11,149,12.9642,77.5561905,Business Service,Solar Energy Service,Business Service
Global Agriculture Technologies,3,556,12.94616,77.4976,Home Improvement,Solar Energy Service,Environmental Conservation,Landscaping
Rashmi Industries,4,1086,12.8909302,77.6258621,Company,Solar Energy Service
S M Solar System,135,535,12.906378460117,77.543303668499,Business Service,Solar Energy Service,Business Service
Domestic Solar Power Awareness,0,758,12.92895,77.58861,Home Improvement,Solar Energy Service
Solarwinds & CO,0,65,12.8950099,77.5551799,Energy,Energy
Elektromac Power And Automation Solutions,2,280,13.0219,77.50559,Energy,Energy
Sri barlota industries,0,593,13.0387602,77.6540375,Energy,Professional Service
Star Solarisation India Pvt. Ltd.,0,386,12.91045,77.6328812,Energy,Energy
Nsoft India Services Pvt Ltd,0,165,12.9094801,77.5668716,Energy,Professional Service
Transind Technologies,0,128,13.0277004,77.5356903,Energy,Professional Service
Borg Power Play Store,1,409,12.978012752723,77.634203811696,Home Improvement,Solar Energy Service
Enfros Technologies Pvt. Ltd.,0,137,13.3145399,77.75283,Local Business,Solar Energy Service
Rooftop Solar Power Projects,0,221,13.13338,77.56881,Local Business,Solar Energy Service
Naveen Power Solutions,0,147,12.97585,77.641,Home Improvement,Solar Energy Service
"Bloom Energy, Engineering Building. Bangalore, India",9,1,12.978045,77.55105,Local Business,Local Business
